,Top 10 important genes from the CellTypist model
T CD4 Helper 1,"CCL5, KLRB1, GZMA, IL7R, S100A4, TNFAIP3, LTB, IL32, LYAR, RPLP1"
T CD4 Helper 1 IFN stim,"NBAT1, AC025569.1, TRDV3, SLC32A1, WNT16, LINC01976, AC090673.1, NLRP7, CTSG, SYN3"
T CD4 Helper 17,"PDE4D, S100A4, JUN, CTSH, CMTM6, MIR4422HG, CDC25A, KCTD19, LINC01013, LTB"
T CD4 Helper 2,"ANXA1, SELL, GATA3, EDN3, TNFRSF11A, COTL1, C1orf162, GATA3-AS1, CLC, PTGDR2"
T CD4 Helper 2 IFN stim,"LINC01013, AC025569.1, GATA3-AS1, SUCNR1, KCTD19, AC011893.1, LINC01976, DLGAP1, NUDT10, SYN3"
T CD4 Naive,"RPL30, RPS27, RPLP1, RPS23, LYZ, RPL11, S100A9, NOSIP, RPS13, RPS14"
T CD4 Naive IFN stim,"IFITM1, STAT1, LY6E, XAF1, IFI44L, MX1, IRF7, EIF2AK2, PARP9, MALAT1"
T CD4 Naive RTE,"SOX4, LTB, UBXN10-AS1, TNFAIP3, LRRN3, GNG8, MMP15, ARMH1, CHAC1, KCTD19"
T CD8 Activated CTL,"GZMA, GZMH, WNT16, GNLY, SLC25A27, SYN3, LINC01013, CCL5, ZNF385C, EDN3"
T CD8 Activated CTL Cycling,"WNT16, ARHGAP20, NUDT10, LINC01281, SLC25A27, SLC32A1, KCNA5, LINC01013, AC025569.1, SUCNR1"
T CD8 CM,"CCL5, CD8B, LTB, IL7R, KLF6, EZR, COTL1, CD8A, LYAR, ZNF683"
T CD8 CM IFN stim,"MIR4422HG, SCARA5, FOXB1, PAPLN, CCR3, GATA3-AS1, ZNF385C, MRPS30-DT, TIMD4, AC011893.1"
T CD8 CTL,"NKG7, CD8B, CD8A, GZMH, GNLY, GZMB, ITGB1, S100A6, B2M, FGFBP2"
T CD8 CTL Cycling,"CRNDE, WNT16, MIR4432HG, SLC32A1, ATP2A1, MIR4422HG, AC025569.1, NBAT1, AC011893.1, TNFSF11"
T CD8 CTL IFN stim,"SLC32A1, LINC02245, LDLRAD2, TNFSF11, GATA3-AS1, CHAC1, MIR4422HG, BTNL9, LINC00544, SMIM6"
T CD8 EM,"NKG7, CCL5, CST7, GZMK, MALAT1, CD74, GZMA, RPS27, DUSP2, KCTD19"
T CD8 EMRA,"NKG7, CCL5, CD3E, GZMH, CTSW, LINC01013, CD3D, NBAT1, MATN2, AC011893.1"
T CD8 Naive,"CD8B, CTSW, LINC02446, CD8A, CARS, RPLP1, NELL2, RPS4Y1, TSPAN32, SIGLEC1"
T CD8 Naive IFN stim,"CD8B, STAT1, IFITM1, MX1, XAF1, IFI44L, LY6E, CD8A, AC025569.1, RFPL4A"
T CD8 Naive RTE,"SOX4, CD8B, IKZF2, RGS1, CD8A, CHI3L2, SYTL2, WNT16, EDN3, FBLN2"
T Double Negative,"MIR4422HG, KCNA5, EDN3, PTPN3, SUCNR1, GPER1, AC025569.1, AC004585.1, SCARA5, BTNL9"
T Double Negative Cycling,"TIMD4, CAV1, WNT16, LINC01013, PAPLN, FXYD6-FXYD2, SLC12A3, ANKS1B, AC011893.1, BTNL9"
T G/D CM,"TRDV2, GZMK, IL7R, TRGV9, NKG7, CST7, AC025569.1, FOXB1, WNT16, CCDC42"
T G/D CM IFN stim,"TRDV2, KCNA5, SLC32A1, CTSG, PAPLN, MIR4422HG, AC025569.1, AC011893.1, FXYD6-FXYD2, NLRP7"
T G/D EM,"TRDV2, TRGV9, GNLY, CD3G, FGFBP2, CCL5, CD3E, WNT16, GZMH, ST18"
T G/D Immature,"RTKN2, TRDV1, CYP24A1, LINC01013, MOXD1, TNFSF11, GATA3-AS1, KCNA5, ANKS1B, GPER1"
T G/D Immature RTE,"TRDC, RTKN2, SUCNR1, TRDV3, PTPN3, WNT16, AC011893.1, MIR4422HG, LINC01013, AC025569.1"
T G/D non-Dv2/Gv9,"TRDV3, TRDV1, TRGV3, TRDC, GZMH, GNLY, TYROBP, NLRP7, ZNF704, KCTD19"
T MAI,"KLRB1, NKG7, CTSW, LTB, ZFP36L2, WNT16, CD3E, FOXB1, LINC01013, AC011893.1"
T MAI Activated,"NKG7, KLRB1, PRF1, IL7R, CEBPD, CTSG, SLC32A1, TNFSF11, SYT1, ANKS1B"
T Reg Activated,"KCTD19, SLC32A1, C10orf105, AL513493.1, NUDT10, KCNA5, NLRP7, AC090673.1, ARHGAP20, WNT16"
T Reg Activated Cycling,"LINC01013, ARHGAP20, SMIM6, GPER1, EDN3, ATP2A1, SLC12A3, MRPS30-DT, MMP15, PHLDA3"
T Reg CM,"FOXP3, RPL36, RTKN2, RPL32, IKZF2, WNT16, GATA3-AS1, MMP15, IL2RA, LINC01013"
T Reg CM GZMK+ IFNG+,"GZMK, IFNG-AS1, FOXB1, WNT16, SLC32A1, LINC01013, MRPS30-DT, NBAT1, MMP15, CCDC42"
T Reg EM,"NUDT10, STAM, IL32, MALAT1, CCDC42, ZNF385C, PAPLN, AC025569.1, NBAT1, LINC02245"
T Reg EM Cycling,"WNT16, LINC01140, BTNL9, CCR3, C10orf105, DLGAP1, PTPN3, ST5, NBAT1, MMP15"
cDC1,"CLEC9A, WNT16, DLGAP1, GATA3-AS1, ELFN1-AS1, FOXB1, NBAT1, TNFSF11, C10orf105, KCNA5"
cDC1 Cycling,"MIR4422HG, GPER1, AC025569.1, MRPS30-DT, TRDV3, KCNA5, ST5, LINC01013, MMP15, KCTD19"
cDC1 IFN stim,"ANKDD1B, CLEC9A, PAPLN, LRRC63, LINC01013, AP000781.1, WNT16, MIR4422HG, ST5, C10orf105"
cDC2,"CST3, HLA-DPB1, SUCNR1, NBAT1, MIR4422HG, KCTD19, GFPT2, SLC32A1, LINC01013, TRDV3"
cDC2 CD14+,"S100A8, HLA-DPB1, MS4A6A, HLA-DQA1, WNT16, LINC01281, SUCNR1, S100A9, MIR4422HG, FOXB1"
cDC2 IFN stim,"IFITM1, IFITM3, TYMP, LINC01013, WNT16, MX1, TRDV3, SYN3, NBAT1, TIMD4"
pDC,"GZMB, PLD4, SERPINF1, LINC01013, AK8, PLEKHD1, ANKS1B, AC025569.1, TIMD4, WNT16"
pDC IFN stim,"IFI44L, WNT16, CACNB2, NBAT1, VASN, CCDC42, LILRA4, HESX1, CTSG, TNFSF11"
