,Top 10 important genes from the CellTypist model
Early mesothelial,"SYNPR, BARX1, GRIN2B, TMEM235, PLEKHN1, WT1, IGLV3-21, TRAV9-2, KLK5, BNC1"
Early stalk,"ILDR2, FREM3, NKX2-8, TRBV9, FSTL4, TRBV19, POU5F1B, TRAV9-2, IGKV3-20, AC092794.1"
Early tip,"WNT7B, TPPP3, CPM, CLDN6, IGLV3-21, XDH, LRRC36, TRAV1-2, HNF4A, TTR"
Eosinophil,"IGLV3-21, EPX, TRAV29DV5, TRAV9-2, TRBV9, AL157895.1, IGKV3-20, TRBV19, HOXA10-AS, AC024267.4"
FGFBP2+ Neural progenitor,"IGLV3-21, TRAV1-2, IGKV3-20, SYNPR, TRAV8-6, TRBV19, DBH, TRBV9, TRBV20-1, TRAV9-2"
GHRL+ NE precursor,"GHRL, CHGA, HEPACAM2, KLK14, TMEM196, NKX2-2, PCSK1, IFNE, LINC01574, IGLV3-21"
GHRL+ neuroendocrine,"EYS, IGLV3-21, CD207, TRAV29DV5, IGKV3-20, TRBV19, TRBV20-1, TRAV1-2, TRAV8-6, LINC02245"
GMP,"PRTN3, DEFA4, SERPINB10, PRG2, IGLV3-21, ELANE, TRBV19, TRAV1-2, TRAV9-2, TRAV29DV5"
GRIA2+ arterial endo,"AC008514.1, IGLV3-21, TRBV20-1, DKK2, IGKV3-20, CD207, KCNK4, TRAV8-6, S100A3, TRAV9-2"
HMOX1+ primitive erythroblast,"HBE1, IGLV3-21, UCA1, TRBV19, TRDV2, TRAV9-2, TRBV9, IGKV3-20, TRAV1-2, IGHV1-18"
HSC,"PGLYRP2, DYTN, FSIP2-AS1, FGF16, IGLV3-21, TRAV8-6, TRBV9, TRAV29DV5, IGKV3-20, TRAV26-1"
HSC/ELP,"PRSS2, TRBV28, HTR1F, AC090971.1, LINC00854, IGLV3-21, TRAV9-2, TRBV20-1, TRBV27, TRBV9"
ILC2,"PTGDR2, IL9R, FSTL4, KRT1, IL13, ZP1, IL2RA, IL1RL1, GATA3-AS1, IGLV3-21"
ILC3,"TTC39C-AS1, PGLYRP2, EFCAB8, TRAV1-2, TRBV20-1, AC020659.1, TRBV5-1, IGLV3-21, IGKV3-20, CD207"
ILCP,"LINC00299, PDZK1, IGLV3-21, TRBV9, CD207, SCN1B, GPR150, AMER2, LINGO4, LINC01366"
Immature B,"MS4A1, LIPN, LTB, TCL1A, IGHV1-18, TRBV19, TLX3, TTLL10-AS1, IGLV2-11, IGLL5"
Interm chondrocyte,"MATN4, IGLV3-21, TRAV9-2, CNMD, TRBV19, TRBV28, TRBV9, TRBV20-1, IGKV3-20, TRAV29DV5"
Interm fibro,"SOD3, FBLN1, PENK, MOXD1, PAMR1, SELENOP, COL3A1, LGR5, TAGLN2, GPR75-ASB3"
Interm neuroendocrine,"IGLV3-21, IGKV4-1, TRAV9-2, TRBV19, IGKV3-20, TRAV26-1, TRBV9, LINC00854, TRAV1-2, GABRA5"
Intermediate NK,"NKG7, CTSW, IL1RL1, CST7, GNLY, IGLV1-50, SPTSSB, TRAV29DV5, LINC01954, OR2B11"
Intermediate lymphatic endo,"IGLV3-21, HCG20, TRBV9, TRAV9-2, TRAV1-2, TRAV26-1, TRDV2, IGLVI-70, IGKV4-1, TRBV20-1"
KCNIP4+ neuron,"NWD2, CNGB1, TRAV29DV5, IGLV3-21, TRBV9, AC105389.3, CD207, IGLVI-70, TRDV2, TRBV20-1"
Large pre-B,"IGLL1, CDKN2A, TERT, AC132807.2, IGLV3-19, MIR4432HG, MS4A1, TRBV19, TRBV9, TRBV5-1"
Late Schwann,"MYOT, IGLV3-21, TRBV9, TRAV9-2, IGKV3-20, TRBV19, SLITRK1, IGLVI-70, TRAV29DV5, CD207"
Late airway SMC,"HHIP, LMCD1, PLP1, KLF2, MYH11, IGFBP5, MTRNR2L12, FGF18, TRAV29DV5, IGKV3-20"
Late airway progenitor,"CFHR1, AP000357.2, FSIP2-AS1, TRBV19, AC005165.1, IGLV3-21, XDH, AQP5, TRAV1-2, TRBV5-1"
Late basal,"KRT15, CXCL6, DCDC2C, IGLV3-21, TRBV9, TRBV20-1, TRAV9-2, IGKV3-20, TRBV28, KCNK4"
Late cap,"CA4, APLNR, CSMD2, SYCP1, CDH5, IGLV3-21, AC007743.1, LINC02487, TRBV19, LINC01507"
Late mesothelial,"PRG4, UPK1B, AP000842.2, IGLV3-21, TRAV9-2, TRAV1-2, TRAV29DV5, TRBV9, TRAV8-6, TRBV20-1"
Late pre-B,"LINC01507, SAG, IGLC7, IGLV1-50, FCRLA, LINC00854, IGKV3-20, SPI1, IGLV3-25, IGLV3-10"
Late pro-B,"DNTT, IGLV3-21, IGHV3-23, TRBV4-2, IGHV1-18, TRAV9-2, RPS4Y2, TRBV19, TRBV9, IGLV3-10"
Late stalk,"IGLV3-21, PRG4, MBD3L1, AL591848.3, EYS, GKN2, RNASE1, COL4A3, ERRFI1, ELF3"
Late tip,"SFTPC, NOTUM, AQP1, SFTPA2, TESC, RASGRF1, AC008825.1, AC090971.1, GUCA2A, TRBV19"
Lymphatic endo,"CCL21, STAB2, ZP2, SNCB, RELN, ABCA9-AS1, UNC5A, AC007998.3, IGLV3-21, AL845472.1"
MEP,"SYCP1, KLF1, HBD, IGLV3-21, LINC02232, KCNK4, AL157895.1, TRAV9-2, TRAV1-2, TRBV19"
MFNG+ DBH+ neuron,"DBH, IGLV3-21, CD207, TRBV9, TRAV1-2, AL096711.2, TRAV9-2, TRAV29DV5, KCNK4, LINC00854"
MUC16+ ciliated,"SLC52A1, AC011899.1, LINC00854, AC090371.1, AC015802.4, FSIP2-AS1, PZP, AL021026.1, CYP4B1, TRBV20-1"
MUC5AC+ ASCL1+ progenitor,"IGLV3-21, MUC5AC, IGKV3-20, TRAV8-6, TRBV9, TRBV19, TRAV9-2, CD207, TRAV29DV5, IGLV3-19"
MYL4+ SMC,"IL17B, TNNT2, MYH11, ACTG2, KCNH5, MYL4, IGLV3-21, TRBV9, KREMEN2, TRAV29DV5"
Mast,"TPSB2, TPSD1, TPSAB1, IGLV3-21, AL157895.1, IGLVI-70, MS4A2, TRBV4-2, IGLV3-25, TRBV20-1"
Megakaryocyte,"LINC00989, TRAV1-2, IGLV3-21, GP1BA, AC133644.2, PTCRA, CLEC1B, TRAV9-2, TRAV29DV5, LINC01507"
Mesenchymal 1,"TRGV2, LINC02269, IGLV3-21, TRAV9-2, TRAV1-2, TRAV8-6, IGHV1-18, TRBV9, IGKV3-20, TRAV29DV5"
Mesenchymal 2,"ZFHX4-AS1, LINC01082, MSC, PITX1, PITX2, IGLV3-21, ISL2, TRBV9, EFCAB8, TRAV1-2"
Mesenchymal 3,"PAPPA2, ALX4, GDPD2, AP000977.1, LINC01695, IGLV3-21, TRAV8-6, AC009139.1, TRBV20-1, TRAV29DV5"
Mid Schwann,"IGLV3-21, CBLN1, IGKV3-20, TRAV1-2, TRBV28, TRBV20-1, TRAV29DV5, DHH, RPS4Y2, IGHV3-23"
Mid airway SMC 1,"COMP, ACTA2, IGLV3-21, RPS4Y2, TRAV9-2, TRBV9, IGF1, TRAV1-2, TRBV19, AC007163.1"
Mid airway SMC 2,"FBXO32, SBSPON, AL591848.3, RASD2, IGLV3-21, TRAV9-2, TRAV1-2, TRAV29DV5, IGKV3-20, KCNB1"
Mid airway progenitor,"SCGB3A2, AL592166.1, EHMT2-AS1, EYS, IGLV3-21, AC018553.1, TRBV28, GGTLC1, IGKV3-20, AL357833.1"
Mid basal,"KRT5, COL17A1, WFDC5, IGLV3-21, TRAV9-2, KRT13, SNX31, KRT14, IGLVI-70, CD207"
Mid cap,"OTC, IGFBP2, VWF, ECSCR, TRBV9, GPR150, DEPP1, ASPDH, TRAV29DV5, IGLV3-21"
Mid fibro,"LPL, EEF1G, RPL21, DCN, C2orf40, RPS26, RPL17, FOS, TMSB15A, MALAT1"
Mid mesothelial,"FLNB-AS1, SBK2, IGLV3-21, PRSS33, GABRA5, TRBV9, CD207, TRBV19, TRBV27, HTR2B"
Mid stalk,"SCGB3A2, S100A14, TNNC1, RNASE1, UGT2B7, SLC7A14, TMC5, TRBV28, AC098484.2, IGLV3-21"
Mid tip,"TESC, SLC13A2, ATP6V1B1, MUC5AC, CLIC3, SYNPR, ST8SIA5, XDH, RPS4Y2, AC016717.2"
Myelocyte-like,"CHI3L1, CRISP3, CAMP, PGLYRP1, CD177, IGLV3-21, CHIT1, TRBV9, TRBV20-1, CD207"
Myofibro 1,"CT45A1, CT45A2, CT45A3, IGLV3-21, TRAV9-2, AL591848.3, HTRA1, TLX3, AC137630.4, CD207"
Myofibro 2,"LINC01632, THBD, NPTX1, TRBV9, IGLV3-21, TRAV9-2, TRAV29DV5, TRBV19, TRAV8-6, WIF1"
Myofibro 3,"IGLV3-21, IGSF1, TRAV29DV5, TRBV19, TRBV9, ASPDH, AC008011.2, IGKV3-20, LINC00854, TRAV1-2"
NKT1,"TRDV2, SLC4A10, TRAV26-2, GZMA, TRBV28, TRBV19, TRBV11-2, IGLV3-21, AL109914.1, TRAV1-2"
NKT2,"TRDV2, ZNF683, TRBV19, TRGV8, IFNG-AS1, ITGAD, AC024267.4, TRBV20-1, PGLYRP2, IL9R"
Neutrophil,"PROK2, ORM1, CMTM2, ORM2, FCGR3B, PGLYRP1, ADGRG3, TRAV1-2, HP, MGAM"
Non-cla. mono.,"FCN1, SERPINA1, CCR3, IGLV3-21, TRBV19, AGRP, APOBEC3A, TRAV1-2, HTR7, TRDV2"
OMD+ endo,"IGLV3-21, TRAV29DV5, TRBV9, TRAV9-2, IGKV3-20, TRBV20-1, TRAV1-2, LINC01507, LINC00854, GDF7"
PCP4+ neuron,"IGLV3-21, TRBV20-1, TRAV26-1, TRBV9, TFAP2B, TRBV4-2, TRAV1-2, SLITRK1, TRAV8-6, IGKV3-20"
Pericyte,"NECAB1, NDUFA4L2, HIGD1B, COX4I2, LAMC3, FRMPD4, ADAMTSL3, FAM162B, NPAS1, FABP4"
Platelet,"IGLV3-21, CD207, IGKV3-20, TRBV28, TRAV1-2, IGLVI-70, TRBV9, TRBV4-2, TRBV20-1, TRAV8-6"
Primitive erythrocyte,"PKLR, MT1G, MT1H, NT5DC4, HBE1, SLC30A10, AC104071.1, AL353693.1, ASIC4, TRBV9"
Pro-B,"DNTT, UGT3A2, IGKV2-26, TRAV1-2, IGKV3-20, IGLVI-70, LINC01507, IGLV3-21, FAM30A, TRBV28"
Pro-B/Pre-B transition,"LINC02137, AP001059.1, MAB21L2, IGLV3-21, TRBV9, CD207, TRBV19, MIR4432HG, LINC01013, AC133644.2"
Proliferating Schwann,"IGLV3-21, IGKV3-20, PMP2, TRAV29DV5, TRAV9-2, TRBV9, LINC01507, TRAV8-6, RPS4Y2, AC133644.2"
Promonocyte-like,"MPO, RNASE2, LINC01664, RNASE3, AC084871.2, FCN1, IGLV3-21, TRBV19, IGKV3-20, KCNK4"
Promyelocyte-like,"PRTN3, AGRP, MPO, TRBV9, IGLV3-21, TRAV1-2, AZU1, TRAV26-1, CD207, IGLVI-70"
Proximal basal,"ADH7, IGLV3-21, TRAV29DV5, TRBV20-1, TRBV19, TRBV28, IGKV3-20, TRBV9, TRAV8-6, TRAV1-2"
Proximal secretory 1,"LINC01645, MUC5B, TRBV9, SCGB3A1, TRAV29DV5, IGLV3-21, TRDV2, TRBV20-1, TRBV28, TRAV1-2"
Proximal secretory 2,"PAX1, IGLV3-21, TRAV29DV5, TRAV9-2, TRBV9, IGHV1-18, TRAV8-6, TRBV20-1, IGLVI-70, TRAV1-2"
Proximal secretory 3,"IGLV3-21, TRBV19, TRAV1-2, TRBV28, ATP10B, TRBV20-1, TRBV9, TRBV27, TRAV26-1, TRAV29DV5"
Proximal secretory progenitors,"IGLV3-21, BRINP2, TRBV20-1, TRAV1-2, IGKV4-1, TRAV29DV5, TRAV26-1, IGKV3-20, AL357833.1, CD207"
Pulmonary NE precursor,"GRP, CALCA, TRPM8, PHGR1, GPR6, MSMB, KLK12, KLK14, LINC02440, AL450311.2"
Pulmonary neuroendocrine,"FSTL4, IGLV3-21, TRBV27, CD207, TRBV9, KLK12, TRAV29DV5, TRAV4, TRAV9-2, TRAV1-2"
Resting chondrocyte,"IGLV3-21, TRAV1-2, TRBV20-1, TRBV9, EPYC, TRBV4-2, TRDV2, AC133644.2, IGKV3-20, TRAV9-2"
S100A12-hi cla. mono.,"S100A8, CD14, LYZ, IGLV3-21, TRAV9-2, MS4A6A, CD207, TRAV1-2, SELL, TRBV27"
S100A12-lo cla. mono.,"CD14, IGLV3-21, FOLR2, TRGV2, TRAV1-2, TRBV9, LINC01954, TRAV9-2, TRBV20-1, TRAV29DV5"
SCG3+ lymphatic endothelial,"GJD3, DCDC2C, IGLV3-21, TRAV26-1, TRAV8-6, SV2C, PM20D1, CPNE6, IGKV3-20, LINC01507"
SMG,"IGLV3-21, TRBV19, IGKV3-20, TRBV20-1, IGHV1-18, TRAV29DV5, IGHV3-23, RPS4Y2, TRAV8-6, TRAV4"
SMG basal,"SAA1, IGLV3-21, TRAV29DV5, TRAV9-2, TRAV8-6, PDZK1, TRAV1-2, TRBV19, TRBV9, IGKV3-20"
SPP1+ MΦ,"SPP1, LILRB5, STAB1, VSIG4, LYVE1, FGD2, SIGLEC1, RNASE1, F13A1, LINC01954"
SST+ neuron,"SLC18A3, IGLV3-21, TRBV9, TRAV1-2, TRBV28, HRH3, KCNK10, TRDV2, TRBV20-1, IGLVI-70"
Schwann precursor,"ALK, LINC01198, TFAP2B, TAC1, PRSS56, IGLV3-21, TRPC4, SOGA3, TRBV20-1, TRAV1-2"
Squamous,"RNF39, TRAV29DV5, TRBV20-1, TRAV9-2, IGLV3-21, CD207, TRAV1-2, TRBV9, KRT78, IGLVI-70"
TM4SF4+ CHODL+ neuron,"STMN4, MAB21L2, CNGB1, IGLV3-21, TM4SF4, CD207, TRBV20-1, TRBV19, TRAV1-2, TRAV9-2"
TM4SF4+ PENK+ neuron,"PIRT, IGLV3-21, CD207, PENK, LINC01507, TRBV20-1, TRAV29DV5, RPS4Y2, IGHV3-23, IGHV1-18"
Th17,"AC024267.4, TRAV29DV5, TRBV19, TRBV11-2, KLRB1, ZNF683, AL391056.1, IGLV3-21, TRDV2, TRAV4"
Treg,"CTLA4, FOXP3, IL2RA, AC133644.2, LINC01281, TRAV2, TRBV4-2, TRAV9-2, TRBV28, IGLV3-21"
Tαβ_Entry,"TRAV1-2, IGLV3-21, TRBV20-1, TRBV11-2, TRAV29DV5, TRAV9-2, TRBV28, IGLVI-70, AC133644.2, TRBV9"
Vascular SMC 1,"NTN4, KCNK4, IGLV3-21, TRAV1-2, TRBV9, TRAV29DV5, TRAV9-2, CPNE6, IGKV3-20, TRBV28"
Vascular SMC 2,"PLN, CASQ2, LSMEM2, AL450332.1, AC013565.1, LINC00670, IGLV3-21, ACAN, IGKV3-20, CD207"
Venous endo,"ACKR1, SELP, OTC, VWF, CHODL, IGLV3-21, NOS1, IGKV3-20, SLCO2A1, ESM1"
aDC 1,"IGLV3-21, TRAV9-2, TRBV9, TRBV19, CCL19, TRAV29DV5, IGKV3-20, TRBV27, LINC01507, TRAV1-2"
aDC 2,"CCL22, CD207, CXCL9, IGLV3-21, AC007881.2, TRBV20-1, TRBV19, TRBV9, TRAV9-2, TRAV29DV5"
pDC,"PTCRA, AC104024.1, GZMB, AC097375.1, TRBV9, TRAV1-2, IGKV3-20, AC023590.1, CLEC4C, IGLV3-21"
pre-pDC/DC5,"SIGLEC6, CTSG, TRBV20-1, KCNK10, CLEC4C, MIR4432HG, IGLV3-21, TRBV9, AC126696.3, TRAV1-2"
κ small pre-B,"IGLL5, IGLL1, IGLV3-21, ACTG1, IGLV3-25, TCL1A, AP001059.1, TRAV8-6, TRAV9-2, IGKV3-20"
λ small pre-B,"IGLVI-70, AL356234.3, LHPP, RPS4Y2, TRBV4-2, TRAV29DV5, TRDV2, TRAV9-2, LINC01781, IGLV3-21"
