,Top 10 important genes from the CellTypist model
Migratory DCs,"ENTHD1, IGKJ5, AL136456.1, SDAD1P1, RP11-1275H24.3, AC111006.1, TRBV10-2, MIR600HG, AC005614.1, FCGR2C"
Mono-mac,"KLRB1, NKG7, HLA-DRA, SPRR3, KRT13, TRBV11-3, AC009226.1, AL355488.1, AL512306.2, AC105942.1"
Monocyte precursor,"RETN, FCN1, CD207, AC006115.2, IGKJ5, CT70, AC007368.1, BMS1P1, MRPL37P1, SCART1"
Monocytes,"TYROBP, FTL, IGKC, TRAC, HLA-DPB1, NEAT1, SAT1, LYZ, COTL1, AL136456.1"
Myelocytes,"LYZ, S100A6, FTH1, MT-RNR2, FTL, SRGN, PTPRC, AL136456.1, AC111006.1, AC092068.2"
NK cells,"NKG7, GNLY, CST3, MALAT1, SPINK2, KLRD1, HMOX1, IGFBP4, TRBV10-2, CD3E"
NKT cells,"NKG7, PRDM16, TRDV2, U62631.1, AL109914.1, SNX29P1, AC111006.1, AC022126.1, AC108879.1, LINC01013"
Naive B cells,"TCL1A, IGHD, YBX3, IGHM, AL139020.1, CD74, IGKC, RACK1, RPL41, RPS17"
Neutrophil-myeloid progenitor,"MS4A3, MPO, KCNE5, TRAV24, TRBV10-1, AC022126.1, U62631.1, FMO2, AL136456.1, TRBV11-1"
Neutrophils,"RP11-589C21.6, AC022126.1, PAGE5, SYCP1, AL031733.2, SYN3, XCR1, DEFA3, CTAG2, AC111006.1"
Non-classical monocytes,"HES4, MS4A7, AL136456.1, SNX29P1, SDAD1P1, AC022126.1, AC104809.2, AC067945.4, TRBV10-2, LINC02100"
Plasma cells,"DUSP26, JCHAIN, MZB1, CADPS2, AL157895.1, AC246817.1, IGKC, MIR600HG, AC092902.4, MAG"
Plasmablasts,"HIST1H3G, AC092902.4, FOXH1, AC005614.1, CD207, AL731577.2, CCND2, AC011477.2, MRPL37P1, OR2A25"
Pre-pro-B cells,"VPREB1, AL136456.1, AC017104.6, CALB2, AL137186.2, RP11-1070N10.3, OR2A25, CTAG2, LIX1-AS1, AL157895.1"
Pro-B cells,"VPREB1, DNTT, CTAG2, AL355488.1, OSTN-AS1, OR2A25, SOCS2-AS1, LINC01013, AL136456.1, DUSP26"
Proliferative germinal center B cells,"PCLAF, OSTN-AS1, GLYATL2, AC005614.1, TRIM71, TRBV11-3, TRBV10-2, AC007368.1, CTAG2, AD000090.1"
Promyelocytes,"PRTN3, AL731577.2, ELANE, CTAG2, LINC01644, AC108879.1, AZU1, TRBV10-2, AL136962.1, RP11-1275H24.3"
Regulatory T cells,"MS4A6A, RGS1, RTKN2, TIGIT, IL32, CTLA4, TIMD4, PTPRCAP, FOXP3, IKZF2"
Small pre-B cells,"AL731577.2, AC092902.4, CD79B, SYCP1, PRDM16, AL109914.1, TRAV24, AL136456.1, ANKRD34B, IGHV7-4-1"
T(agonist),"HLA-B, SMS, COTL1, CD74, BIRC3, LINC02100, TUBB, AC092902.4, HLA-A, REL"
Tcm/Naive cytotoxic T cells,"CD8B, LINC02446, CD8A, KLRK1, B2M, YBX3, HLA-C, S100B, FTL, HLA-A"
Tcm/Naive helper T cells,"IGFBP1, EEF1G, TSHZ2, FCGRT, MALAT1, SNHG3, HBG1, LINC01709, MT-RNR2, RPL17"
Tem/Effector helper T cells,"ANXA1, KLF2, S100A4, DNTT, LTB, AQP3, MIR1244-2, ITGB1, LGALS1, KLRB1"
Tem/Effector helper T cells PD1+,"RP11-1070N10.3, TCL1B, LINC02100, AC005264.1, AC009226.1, AC006115.2, CYP4F3, AC105942.1, TRBV10-2, AC005614.1"
Tem/Temra cytotoxic T cells,"GZMH, GNLY, MT-ND3, RP11-466H18.1, TRAC, RP11-1275H24.3, TRBV11-3, PROK2, CD207, CD3E"
Tem/Trm cytotoxic T cells,"GZMK, CCL5, CD8A, CD8B, CST7, NKG7, CMC1, GZMA, YBX3, SH2D1A"
Transitional B cells,"MIR1244-2, AC067945.4, SYCP1, AL136456.1, AC006115.2, CTAG2, AC022126.1, AL731577.2, AC020978.7, LINC01644"
Transitional DC,"SCT, SYCP1, AC108879.1, AL136456.1, HLA-DPB2, CTAG2, AC022126.1, RP11-1275H24.3, AC111006.1, FOXH1"
Transitional NK,"GNLY, SYCP1, CMC1, SCART1, AC022126.1, AL136456.1, LINC02100, CTAG2, PRDM16, AC105942.1"
Treg(diff),"S100A4, HLA-B, RPS26, AC022126.1, AC111006.1, TSC22D3, AC006115.2, LINC01644, MIR600HG, SNX29P1"
Trm cytotoxic T cells,"CCL5, CD8A, CD8B, IGHA1, CCL4, KLRD1, XCL1, KLRK1, COTL1, GPR34"
Type 1 helper T cells,"CCL5, KLRB1, DUSP2, ANXA1, RGCC, CEBPB, DNAJA4, IGKJ5, AC006115.2, JUND"
Type 17 helper T cells,"ANXA1, CEBPD, S100A4, RP11-557H15.4, KLRB1, AC108879.1, ZNF683, BASP1-AS1, LINC02100, GPIHBP1"
gamma-delta T cells,"KIR2DL4, KLRC2, FCRL4, TRDV1, LINC01644, CDH17, TRDV2, TRGV8, KLHL23, NCR2"
pDC,"SCT, AC007381.1, LRRC26, C3orf86, LCNL1, AC006115.2, AC022126.1, TRBV10-2, MIR600HG, CD207"
pDC precursor,"MYBPH, AC111006.1, AC022126.1, U62631.1, AC019197.1, TRBV11-3, SIGLEC17P, AC005614.1, FCGR2C, FMO2"
