,Top 10 important genes from the CellTypist model
Mono,"S100A8, S100A12, ELANE, LYZ, VCAN, CLEC4C, RP11-731F5.2, LINC01013, IGHE, AL928768.3"
NK,"TYROBP, GNLY, KLRF1, AL928768.3, KLRB1, XCL2, CATSPER1, KLRC1, NKG7, GSTP1"
NKT,"NKG7, PRDM16, IL32, RP11-403A3.3, GZMK, SOX10, CST7, LILRA4, CLEC4C, BCL2L14"
NMP,"MS4A3, LYZ, RAB44, PRTN3, FCN1, AJ006998.2, MPO, CEACAM4, TREM2, WDR49"
T(agonist),"HLA-B, CD74, KIRREL3, TUBB, LY6D, HP, ITM2A, SMS, RP11-637O19.2, B2M"
TEC(myo),"PMP2, PRLH, SCT, SMYD1, CLEC4C, MYOZ2, LILRA4, HSPB7, SOX10, PPP1R1A"
TEC(neuro),"STRC, CLDN3, CLEC4C, NOTUM, IL12B, LILRA4, KCNK10, RP11-761N21.1, CD300LB, TRDN"
Tfh,"FOSB, NFKBIA, CLEC4C, RPS4Y1, RBM8A, HSPA1B, LPAR3, NR4A2, CSF2, AL928768.3"
Th17,"ANXA1, KLRB1, KIR2DL4, SPOCK2, ITGB6, CRIP2, ZBTB16, CLEC4E, CCND3, IFITM2"
Treg,"PTTG1, IL32, SOX4, ACTA2, HSPA1A, FTL, LTB, JUNB, MIR4435-2HG, MT2A"
Treg(diff),"HLA-B, SMPX, EHF, S100A4, CASQ2, B2M, SOX10, HSPB7, C1S, TUBB1"
VSMC,"RERGL, HSPB7, TINAGL1, NDUFA4L2, ACTA2, CALD1, IGFBP7, CLEC4C, TAGLN, RP11-761N21.1"
aDC1,"IL12B, CIB3, RP11-761N21.1, CLEC4C, IL27, MUC6, KCNK10, P2RY13, CTC-340A15.2, CD300LB"
aDC2,"AIRE, CLEC9A, IGHE, AC079767.4, ENTHD1, SLC1A2, CCL17, XCR1, AOC1, AL928768.3"
aDC3,"LGALS2, IDO1, PRLH, CCL19, CLEC4C, AJ006998.2, PLA1A, RP11-731F5.2, RP11-16K12.1, LILRA4"
cTEC,"PRAP1, SCX, CDC42EP5, PSMB11, TAC1, CHST8, PNMAL2, AATBC, HSPA12A, FOXG1"
mTEC(I),"KRT15, CCL19, CXCL14, PTGDS, KRT14, CLU, LYPD1, CH25H, SELM, KRT19"
mTEC(II),"KRT17, ATP1A4, LGALS3, CALML3, CLEC7A, S100A9, MARCO, PCP4, FGF17, XKR4"
mTEC(III),"KRT23, CXCL17, CAPNS2, RP11-485M7.3, TMPRSS4, PYDC1, KRT19, CLEC4C, ABCA13, BNIPL"
mTEC(IV),"AC002456.2, FOXI1, HEPACAM2, CLCNKB, BMX, CLEC4C, LILRA4, FAM150A, RP11-798K3.3, MEGF10"
mcTEC,"KRT19, CCL25, KRT5, CCL2, TFPI2, LGALS7, TAGLN, CD300E, CSRP2, CLEC4C"
pDC,"LILRA4, KCNK10, CLEC4C, SCT, NME8, LILRB4, CD300LB, KIRREL3, PLD4, LINC01013"
αβT(entry),"MALAT1, CD1E, ITM2A, SERPING1, PDZK1IP1, BCAM, AATBC, TRIM63, RP11-354E11.2, HRC"
γδT,"H3F3A, CD52, OVOL3, MT-CYB, TRDC, HLA-B, RPL3, RPS23, ANXA1, CSTB"
