,Top 10 important genes from the CellTypist model
CD8_TRM/EM,"DTHD1, LYST, AOAH, TNIP3, LINC00840, TPSD1, GZMK, LILRA1, SFMBT2, PIK3R1"
Chondrocyte,"COL2A1, HS3ST3A1, ACAN, ALX1, CYTL1, COL11A1, SPOCK3, ENPP1, HAPLN1, COL11A2"
Ciliated,"TSPAN19, TMEM212, HHLA2, FRMPD2, CFAP58, LMNTD1, FABP6, DYNLRB2, TCTEX1D1, FAM81B"
DC_1,"CLEC9A, LINC00158, NAV2-AS1, KIR3DL1, KIR3DX1, TNFSF11, CCL23, SLC17A7, SOX17, ADGRB2"
DC_2,"FCER1A, CLEC10A, KIR3DL1, CLEC5A, ST18, CLEC6A, FCGR2B, PSD2, LINC00840, HLA-DPB1"
DC_activated,"KIR3DL1, EBI3, CD1E, ADCYAP1, CASC20, LINC00840, SOX17, LINC00158, CCL22, NAV2-AS1"
DC_plasmacytoid,"CCL22, KIR3DL1, CCL23, CAGE1, SLC17A7, NAV2-AS1, DMRT2, LHX6, PSD2, CASC20"
Deuterosomal,"NAV2-AS1, KIR3DL1, MCIDAS, CASC20, FCER1A, CDC20, HIST1H2AI, ADGRB2, RAB33A, LINC00840"
Dividing_AT2,"IL1A, CASC20, LINC00840, CLEC6A, KIR3DL1, HAND2, ADCYAP1, CLEC10A, CALB2, UHRF1"
Dividing_Basal,"NEK2, SOX17, DMRT2, TNFSF11, KIR3DL1, CD300LB, FFAR2, NAV2-AS1, PLA2G4C-AS1, ADCYAP1"
Endothelia_Lymphatic,"LDB2, PROX1, SFTPB, PKHD1L1, GALNT18, TIMP3, EGFL7, VWF, SEMA3A, CLEC10A"
Endothelia_vascular_Cap_a,"HPGD, NCALD, CDH13, KIR3DL1, AJAP1, EMCN, CCL23, LINC00158, FENDRR, CLEC6A"
Endothelia_vascular_Cap_g,"LDB2, VWF, AKAP12, NTRK2, FCN3, BTNL8, CXCL10, SLC6A4, CD300LB, KIAA1217"
Endothelia_vascular_arterial_pulmonary,"DKK2, CPAMD8, PTGIS, HAND2, RAB33A, AC093732.1, GPR20, KIR3DX1, ADCYAP1, TNFSF11"
Endothelia_vascular_arterial_systemic,"LINC00840, SEMA3G, SLC17A7, RAB33A, LINC00158, KIR3DL1, CXCL10, TNFSF11, NAV2-AS1, AC093732.1"
Endothelia_vascular_venous_pulmonary,"ABCC8, NRG3, NAV2-AS1, PTGIS, LHX6, SULT1E1, AC010976.2, PLA1A, CCL23, ADGRG6"
Endothelia_vascular_venous_systemic,"VWF, TSHZ2, SELE, ZNF385D, PLVAP, ANO2, LHX6, LINC00840, KALRN, PLA2G4C-AS1"
Fibro_adventitial,"LAMA2, C7, CCDC80, GFPT2, SNED1, CREB5, BICC1, MEDAG, ADCYAP1, IGF1"
Fibro_alveolar,"CXCL10, CCL19, LIMCH1, ANGPT1, SLC17A7, PDE4D, NEBL, GTSE1, LSAMP, FGF14"
Fibro_myofibroblast,"ITGBL1, HPSE2, CFH, KIR3DL1, FGF14, CCDC68, KIR3DX1, PLA2G4C-AS1, SOX17, CCBE1"
Fibro_peribronchial,"TMEM132C, F13A1, PAPPA, FGF14, COL13A1, NDST4, NTRK3, SCN5A, NETO1, LRRTM4"
Fibro_perichondrial,"ITGA10, LAMA2, MAG, NTRK1, PCDH11X, LINC00840, CLEC17A, GALNT15, GPR20, KIR3DX1"
ILC,"TNFSF11, KIR3DX1, GPR37L1, COX4I2, SLC6A1-AS1, CLEC6A, LINC00840, CASC20, NAV2-AS1, MYOZ2"
Ionocyte_n_Brush,"LINC01187, FOXI1, CLCNKA, CLCNKB, KIR3DL1, NAV2-AS1, LINC00840, FAM131C, CASC20, HAND2"
MAIT,"IL7R, MYBL1, RAB33A, IGHD, LINC00840, TTC39C, CD180, SAMD7, SLC4A10, CLEC6A"
Macro_AW_CX3CR1,"IGSF21, SPP1, KCNQ3, NAV2-AS1, SLC17A7, KIR3DL1, SYT6, HAND2, LINC00840, CLEC6A"
Macro_CCL,"IL1A, CXCL5, HCRTR1, KIR3DL1, NAV2-AS1, PSD2, AC079117.1, TNFSF11, L1CAM, HAND2"
Macro_CHIT1,"PLA2G7, KIR3DL1, CD180, NAV2-AS1, TNFSF11, PSD2, C1QTNF9-AS1, OR7C1, RAB33A, LILRB4"
Macro_alveolar,"FABP4, GPRIN3, CDC45, MRC1, LSAMP, STAC, LINC00840, ANGPT4, CCDC88A, TNFSF11"
Macro_alveolar_metallothioneins,"MT1G, KIR3DL1, LINC00158, CASC20, PLA2G4C-AS1, LINC00840, SLC6A1-AS1, CLEC6A, NAV2-AS1, CALB2"
Macro_dividing,"CLEC6A, KIR3DL1, ORC6, HAND2, CXCL10, NAV2-AS1, CDKN3, KIR3DX1, TNFSF11, LZTS1-AS1"
Macro_intermediate,"L1CAM, INAFM2, LINC00840, NAV2-AS1, KIR3DL1, RAB33A, SYT6, CLEC6A, SOX17, DPP10-AS1"
Macro_interstitial,"CXCL10, FFAR2, EBI3, LINC01268, TNFSF11, FCER1A, LINC00158, NAV2-AS1, ANKRD22, SLC17A7"
Macro_intravascular,"SCN9A, F13A1, CCL23, MRC1, CLEC10A, KIR3DL1, GPR20, SOX17, CD163L1, SAMD7"
Mast_cell ,"MS4A2, CPA3, HDC, RGS13, TPSD1, TPSAB1, KIR3DX1, CALB2, CASC20, KIR3DL1"
Megakaryocyte,"KIR3DX1, KIR3DL1, CASC20, NAV2-AS1, PSD2, AP001437.1, LINC00840, HAND2, BIRC7, TNFSF11"
Mesothelia,"SLC17A7, CALB2, ITLN1, HAND2, HAS1, KIR3DX1, CASC20, SOX17, LINC00840, FCER1A"
Monocyte_CD14,"VCAN, CD300LB, FCAR, HIST1H2AI, ARHGAP26, IL1R2, SENCR, LINC00840, ZEB2, NEAT1"
Monocyte_CD16,"POU2F2, LILRA1, KIR3DL1, MERTK, NAV2-AS1, HAND2, CSNK1A1L, CXCL5, KIR3DX1, SYT6"
Muscle_pericyte_pulmonary,"KIR3DL1, ADARB2, GUCY1A2, PSD2, LINC00840, LILRA1, BNC1, DMRT2, CASC20, KIR3DX1"
Muscle_pericyte_systemic,"CLEC10A, OPN4, SLC38A11, LINC00158, PSD2, CD180, LZTS1-AS1, LINC00840, IL1A, RAB33A"
Muscle_perivascular_immune_recruiting,"CLSTN2, KIR3DL1, TNFSF11, SCN5A, FCER1A, CLEC6A, CAGE1, LINC00840, IL1A, CD300LB"
Muscle_smooth_airway,"RAB33A, IL1A, EPHA7, CAMK2B, COX4I2, LHX6, LRP1B, KIR3DL1, FCER1A, CLEC10A"
Muscle_smooth_arterial_systemic,"KIR3DL1, PLA2G4C-AS1, SLC17A7, HAND2, CXCL10, CLEC6A, LHX6, TNFSF11, NAV2-AS1, LINC00158"
Muscle_smooth_pulmonary,"MYH11, SORBS1, CARMN, CACNA1C, ITGA1, LMOD1, PCDH7, ADGRL3, DEFB124, PRKG1"
Myoepithelial,"PSD2, CXCL5, KRT17, ACTG2, FHOD3, KIR3DL1, IL1A, SOX17, PLA2G4C-AS1, CLVS2"
NAF_endoneurial,"CDH19, KIR3DL1, AC093732.1, KIR3DX1, LINC00840, GPR20, ADCYAP1, NAV2-AS1, IL1A, CLEC10A"
NAF_perineurial,"PDZRN4, HAND2, KIR3DL1, NETO1, EBF2, NAV2-AS1, IL1A, DMRT2, CLEC6A, LHX6"
NKT,"GNLY, OOEP, SAMD3, IL32, SPP1, LINC00840, SGCD, BTBD17, ADCYAP1, GPR20"
NK_CD11d,"ITGAD, KIR3DX1, CD247, LINGO2, CXCL10, SYT6, MAG, LINC00840, NAV2-AS1, IGHG2"
NK_CD16hi,"CD247, GNLY, SFTPB, SOX17, CARD11, KIR3DL1, BTBD17, SKAP1, LY86, IGKC"
NK_CD56bright,"KIR3DL1, NCR1, HAND2, NAV2-AS1, GZMK, KIR3DX1, CXCL10, CCL3, CCL23, CADM3-AS1"
Neuroendocrine,"GRP, KIR3DL1, CLEC10A, FFAR2, SYT6, PLA2G4C-AS1, IL1A, KIR3DX1, TNFSF11, CALB2"
SMG_Basal,"NETO1, GPR20, CLEC6A, LINC01436, KIR3DL1, PLP1, A1CF, NAV2-AS1, CASC20, ADCYAP1"
SMG_Duct,"SCGB3A1, TMEM45A, TACR1, KDR, RARRES1, PDE11A, ANPEP, DMRT2, FCER1A, KIR3DL1"
SMG_Mucous,"BPIFB2, MUC5B, B3GALT5, BCAS1, RALYL, GOLM1, ADARB2, ERN2, PCAT18, PTPRN2"
SMG_Serous,"CLDN10-AS1, LPO, C10orf90, LTF, NRG3, CCDC129, BARX2, SLCO1A2, MGAM2, CLDN10"
Schwann_Myelinating,"AC093732.1, KIR3DL1, NAV2-AS1, KIR3DX1, MAG, CLEC6A, LILRA1, SLC17A7, IL1A, OR2AT4"
Schwann_nonmyelinating,"HAND2, L1CAM, FOXD3-AS1, KIR3DL1, ADCYAP1, KIR3DX1, CASC20, NAV2-AS1, FOXD3, LINC00158"
Secretory_Club,"SCGB3A2, ITGA9, MACROD2, SFTA3, RP1, ADGRB2, PTPRD, DMRT2, KIAA1217, LINC00840"
Secretory_Goblet,"MUC5AC, FER1L6, SERPINB11, FER1L6-AS2, SCNN1B, CXCL5, SDK1, KIR3DL1, LILRA1, DSG3"
Suprabasal,"SERPINB3, SEMA3A, LHX6, CDC25A, SERPINB13, ABCA13, FAM171A2, KIR3DL1, PTPRZ1, CASC20"
T_reg,"IKZF2, TSHZ2, C15orf53, FCRL3, CD1E, LDLRAD4, SAMD7, AC093732.1, FAM171A2, F5"
gdT,"CLNK, BFSP2, HAND2, A1CF, CCL23, CASC20, AOAH, IL1A, ATP8B4, CLEC17A"
