,Top 10 important genes from the CellTypist model
Endothelia_Lymphatic,"CCL21, PROX1, MMRN1, RELN, HOXD8, TBX1, MSMP, ACKR2, SCN3B, SEMA3D"
Endothelia_vascular_Cap_a,"HPGD, EDNRB, NOS2, APLN, RCSD1, RAMP2, HSPA1A, CLDN5, TSPAN12, GNG11"
Endothelia_vascular_Cap_g,"S100A8, LINC01013, IFITM3, CD36, TMSB10, IFI27, IL7R, S100A9, LINC01187, RGCC"
Endothelia_vascular_arterial_pulmonary,"CXCL12, DKK2, VEGFA, IGFBP3, MGP, GJA5, PTGIS, IGFBP7, IDO1, MT1A"
Endothelia_vascular_arterial_systemic,"SULF1, CLEC9A, CLDN14, FOXP3, PRSS35, FBLN2, TFF1, PRPH, COL25A1, TRBV6-4"
Endothelia_vascular_venous_pulmonary,"C7, CPE, IGFBP7, ACKR1, IL1R1, MMRN1, CXCL2, ADGRG6, TIMP1, CLU"
Endothelia_vascular_venous_systemic,"FABP4, COL15A1, PLVAP, SPRY1, IGFBP7, APOLD1, SELE, TSHZ2, SCGB3A1, RBP7"
Erythrocyte,"HBA1, HBA2, HBB, CA1, TRIM58, AC002454.1, SLC25A37, RHAG, HBQ1, ALAS2"
Fibro_adventitial,"DCN, MGP, FBLN1, C3, TIMP1, MGST1, MT2A, CFD, CTSC, CCL2"
Fibro_alveolar,"ADH1B, CELF4, PPP1R14A, CAPN6, PAX1, MACF1, CES1, G0S2, HOXC9, SPTA1"
Fibro_immune_recruiting,"HOXC9, CXCL13, SLC26A7, C7, TRBV6-4, CLEC9A, HPD, CCL21, KCNA5, PRPH"
Fibro_myofibroblast,"TAGLN, SHOX2, TBX18, PCSK1N, COL25A1, CTHRC1, TEX41, CLU, KCNK17, CXCL13"
Fibro_peribronchial,"CCL11, CRABP1, TRBV6-4, DIO2, COL25A1, CCL19, NACA2, IGHV5-78, FOXP3, CLEC9A"
ILC,"AREG, TNFSF11, GNLY, KLRB1, IL7R, FXYD7, XCL1, CTSW, KIT, SPTSSB"
Ionocyte_n_Brush,"CD1E, XCR1, LINC00473, PCP4, COL25A1, TRBV6-4, PRPH, CCDC129, LRP1B, CRABP1"
MAIT,"KLRB1, IL7R, TRBV6-2, IFNGR1, DUSP2, TRBV6-4, AURKB, JUN, SLC4A10, CEBPD"
Macro_AW_CX3CR1,"C3, FCGBP, C1QC, AOC1, SHD, TRBV6-4, APOE, CLDN19, A2M, RUNDC3A"
Macro_CCL,"CCL20, CCL4, CCL4L2, TNFAIP6, C15orf48, ANO4, CRABP1, S100B, SLC26A7, NFKB1"
Macro_CHIT1,"GPNMB, CD68, PLA2G7, SPARC, CHIT1, A2M, HPD, CD48, CTSK, PLXNC1"
Macro_alveolar,"FTH1, FTL, CD74, TYROBP, HLA-DRA, AVP, SRL, HLA-DPB1, TTLL9, HRC"
Macro_alveolar_metallothioneins,"MT1G, MT1X, MT2A, MT1F, MT1H, MT1E, PRPH, CMTM5, C1QC, SHCBP1"
Macro_dividing,"CENPU, HELLS, ORC6, TUBB1, TMPRSS11E, RAD51AP1, CLSPN, COL25A1, E2F1, MAB21L1"
Macro_intermediate,"BTG1, ID3, S100A8, PTPRN, RUNDC3A, SYTL3, TIMP1, MAATS1, ZNF331, HLA-DPB1"
Macro_interstitial,"CXCL10, GBP5, GBP1, CLCNKA, ANKRD22, KCNK10, IFITM3, TRBV6-4, PRPH, CRABP1"
Macro_intravascular,"RNASE1, MT-CO2, PMP22, SLCO1C1, MT-ATP8, CTSB, LYVE1, MT-ND4, NEAT1, SLC40A1"
Mast_cell ,"TPSB2, CPA3, GCSAML, TPSAB1, SLC18A2, HDC, RGS13, TPSD1, SIGLEC8, CDK15"
Megakaryocyte,"COL25A1, CCDC129, JARID2-AS1, CRABP1, TYRP1, CCR8, CCL11, TBX18, TRBV7-3, PRPH"
Mesothelia,"ITLN1, CDH2, HPD, HAS1, TFF1, CALB2, PRH2, CLEC9A, NACA2, UPK3B"
Monocyte_CD14,"LYZ, S100A8, VCAN, TMSB4X, TYROBP, PAX5, CD36, CST3, FTL, NEAT1"
Monocyte_CD16,"CDKN1C, IFITM3, TIMP1, RHOC, HES1, DUSP1, IFITM2, ZNF703, NAMPT, S100A4"
Muscle_pericyte_pulmonary,"LAMC3, PTN, HIGD1B, MATN3, COX4I2, HOXC9, KCNK17, PRSS35, LINC00473, PPP1R14A"
Muscle_pericyte_systemic,"RGS5, SLC38A11, TEX41, MATN4, HPD, CALML3, CLEC4C, TRBV7-3, AC012485.2, TNR"
Muscle_perivascular_immune_recruiting,"STEAP4, TBX15, PAPPA2, CLEC9A, COL25A1, FGF7, CCL19, TRBV4-2, CLEC4C, NACA2"
Muscle_smooth_airway,"MYH11, HPSE2, SCUBE1, SHD, CLEC9A, RIMS2, CMTM5, LINC01013, NACA2, TRBV4-2"
Muscle_smooth_arterial_systemic,"PRPH, SORBS2, ACTC1, AVPR1A, RERGL, TRBV6-4, CLEC9A, TAGLN, S100A4, XIRP2"
Muscle_smooth_pulmonary,"MYL9, TAGLN, COL1A1, TPM2, IGFBP7, MGP, CAV1, S100A6, DAB1, PRELP"
NAF_endoneurial,"ANGPTL7, CDH19, IGFBP7-AS1, FOXP3, IGSF21, IGLON5, MYBPC1, XIRP2, TFF1, PAPPA2"
NAF_perineurial,"LINC01209, TRBV6-4, PRPH, NACA2, TENM2, TYRP1, FZD9, TFF1, CCDC129, CXCL13"
NKT,"GNLY, NKG7, IL7R, MALAT1, TRDV2, CD52, KLF1, FGFBP2, IL32, CST7"
NK_CD11d,"NKG7, ITGAD, CD247, GZMH, PCF11-AS1, HOPX, CMC1, CCL5, CD74, FCGR3A"
NK_CD16hi,"GNLY, FCER1G, TYROBP, B2M, IGLL1, RHD, NACA2, MYOM2, EPB42, L1TD1"
NK_CD56bright,"FCER1G, CD7, TYROBP, IFITM1, KLRB1, CMC1, AREG, XCL1, SRGN, CCL3"
Neuroendocrine,"CLEC9A, NPTX1, TMEFF2, SYN3, ST18, SHD, DAB1, MAB21L1, NACA2, COL25A1"
SMG_Basal,"KRT14, MIA, KRT15, LINC01209, NPTX1, SLCO1C1, IGSF21, PRIMA1, CRABP1, DEFB1"
SMG_Duct,"SCGB3A1, NCCRP1, TCN1, MMP7, STATH, GNAZ, GABRP, MUC5B, KRT23, TMPRSS5"
SMG_Mucous,"BPIFB2, MUC5B, TFF3, TFF1, MSMB, CST4, HPSE2, LINC01088, AVPR1A, TAC1"
SMG_Serous,"C6orf58, PIP, LTF, LPO, PRR4, ZG16B, WFDC2, S100A1, MUC7, SLPI"
Schwann_Myelinating,"CLEC9A, TYRP1, SHD, PRPH, GJC3, SLC17A7, TAGLN3, LINC01209, TFF1, CALML3"
Schwann_nonmyelinating,"HAND2-AS1, MYOT, PLP1, CLEC9A, L1CAM, HPSE2, COL25A1, TYRP1, PRSS35, CDH19"
Secretory_Club,"SFTPB, SCGB3A2, SCGB1A1, MGP, SCGB3A1, SLPI, MUC4, CYB5A, CP, TMEM45A"
Secretory_Goblet,"NOS2, S100P, TFF3, MSMB, WFDC2, PAPPA2, PRSS35, FOXP3, GSTA3, TENM2"
Suprabasal,"SERPINB3, LY6D, PLAT, AQP3, MLIP, KRT19, CLCA2, SHISA8, KCNIP4, AC002454.1"
T_reg,"FOXP3, IL32, RTKN2, HSPA1A, IGLON5, PAPPA2, CARD16, CCR4, COL25A1, IGLV1-47"
gdT,"CCL5, KLRC2, GNLY, CD7, TYROBP, ZNF683, ITGAD, CXCR4, CTSW, KIR2DL3"
