,Top 10 important genes from the CellTypist model
EC arterial,"IGFBP3, MGP, HSPB1, TMSB10, CD207, HSPB3, CDK15, SIGLEC6, SH2D6, HSPA1A"
EC general capillary,"FCN3, IFI27, TMSB10, SFTPC, CLDN5, RGCC, IL7R, MT2A, LRRN4, IL32"
EC venous pulmonary,"ACKR1, CLU, IGFBP7, VWF, GPR25, GPX3, CDH19, FOXS1, PRSS23, CPE"
EC venous systemic,"SPARCL1, VIM, ACKR1, IGFBP7, RP11-501J20.5, ITGA11, SPIC, CCL11, LINC01705, SIGLEC6"
Goblet (bronchial),"MUC5B, AGR2, CDH19, SCGB1A1, FDCSP, ANKRD36C, LINC01705, BRINP3, DTX1, LRRN4"
Goblet (nasal),"LYPD2, LCN2, FTH1, MUC5AC, WFDC2, VMO1, MT-CO2, S100A4, S100A6, SCGB3A1"
Goblet (subsegmental),"SCGB1A1, FOXS1, TRGV2, OTC, CFD, TPSG1, ADRA2C, TYRP1, TNFSF11, CXCR5"
Hematopoietic stem cells,"PRSS57, CRHBP, DPPA4, OTC, HPD, LINC01705, BRINP3, HEMGN, AADACL2, DTX1"
Hillock-like,"S100A2, KRT6A, S100A8, S100A9, KRT17, IFITM3, RHCG, CDH19, PPP1R15A, CCL11"
Interstitial Mph perivascular,"MRC1, HLA-DRA, SRGN, HLA-DPA1, HLA-DPB1, MT2A, SELENOP, CCL11, HLA-DRB1, GPR182"
Ionocyte,"OTC, LINC00636, GPR25, MSI1, STMN2, LAMP5, CD207, RSPO1, RP11-322E11.5, TRGV2"
Lymphatic EC differentiating,"CDH19, LAMC3, CCL11, TYRP1, LINC01705, CD207, TFF2, TPSG1, CD1B, KCNN2"
Lymphatic EC mature,"CCL21, TFF3, TFPI, CLDN5, RAMP2, TRGV2, MMRN1, PPFIBP1, CCL11, GPR25"
Lymphatic EC proliferating,"TYRP1, CCL11, AMHR2, COMP, SEZ6L, CRHBP, NFIA-AS2, CD207, KCNN2, LINC01705"
Mast cells,"TPSAB1, TPSB2, NTRK1, ADRA2C, CRLF2, RP11-322E11.5, HDC, CPA3, CTD-2547H18.1, CACNA1C-AS2"
Mesothelium,"ITLN1, CALB2, PRG4, GALNT9, FDCSP, TRGV2, CCL11, HSPB3, AADACL2, COMP"
Migratory DCs,"OTC, NUGGC, CRLF2, SIGLEC6, CCL19, FDCSP, CCL22, AOC1, TRGV2, SMPX"
Monocyte-derived Mph,"VIM, FTH1, MTRNR2L8, APOC1, FOS, MS4A1, MT-ND1, SFTPC, ACP5, RNASE1"
Multiciliated (nasal),"PSCA, CAPS, CRIP1, AQP3, RP11-356K23.1, KLK14, TYRP1, MSI1, SCT, HSPB3"
Multiciliated (non-nasal),"C20orf85, DNAAF1, GSTP1, FAM183A, AGR3, MUC16, MS4A8, PRDX5, DYNLL1, C9orf24"
Myofibroblasts,"OTC, UPK3A, PI15, RP11-322E11.5, ASPN, ATP1A2, CLEC4O, LINC02812, TRGV2, CTAG2"
NK cells,"TYROBP, NKG7, FCER1G, GNLY, CCL3, GZMB, HOPX, TMSB4X, CD7, OTC"
Neuroendocrine,"CRLF2, KLHDC8A, CCL11, PI15, CDH19, GPR25, NPTX1, JPH2, GATA5, KRT1"
Non-classical monocytes,"C1QA, C1QB, C1QC, FABP4, SAT1, IFITM3, AIF1, CTSS, FABP5, SPIC"
Peribronchial fibroblasts,"A2M, OTC, FBLN1, MGP, ADGRG3, IFNG-AS1, LUM, CALN1, CD1B, CRABP1"
Pericytes,"AADACL2, COMP, BRINP3, GREM2, TRGV2, OTC, SPIC, PAEP, LINC00636, AMHR2"
Plasma cells,"JCHAIN, IGKC, IGHGP, IFNG-AS1, NUGGC, CDH19, MZB1, OTC, CD1B, IGKV1-12"
Plasmacytoid DCs,"SCT, SHD, GZMB, LAMP5, CDK15, RP11-501J20.5, TFF2, TPSG1, OTC, AADACL2"
SM activated stress response,"TRGV2, CRLF2, TYRP1, ATF3, LINC01393, STXBP5L, RP11-501J20.5, ADAMTS1, OTC, AMHR2"
SMG duct,"SCGB3A1, CD207, TCN1, LCN2, CLU, OTC, TRGV2, FDCSP, LINC01638, CTSG"
SMG mucous,"BPIFB2, MUC5B, OTC, CCL11, RP11-501J20.5, CD207, KLK14, UPP2, FOXS1, TYRP1"
SMG serous (bronchial),"PRR4, LYZ, LTF, OTC, AZGP1, SCGB3A1, HSPB3, RP11-501J20.5, RP11-1143G9.4, LINC01638"
SMG serous (nasal),"STATH, BPIFA1, ZG16B, CDH19, CCL11, COMP, TPSG1, EPGN, TRH, KLK14"
Smooth muscle,"TAGLN, ACTA2, CALD1, GPR25, PLAC9, IGFBP7, TFF2, AADACL2, SOX10, RP11-501J20.5"
Smooth muscle FAM83D+,"ACTG2, RP11-322E11.5, MYOC, TCL1A, TRGV2, DES, SH2D6, CTAG2, LINC01638, OTC"
Subpleural fibroblasts,"PI15, CD207, TPSG1, RBP5, HPD, RP11-501J20.5, CSDC2, SPIC, TNFSF11, HOXD9"
Suprabasal,"KRT19, S100A2, SERPINB3, MT1X, SLPI, AQP3, RPS19, XIST, C1R, SAA1"
T cells proliferating,"LINC01638, NFIA-AS2, OTC, SIGLEC6, VEGFD, KCNN2, KRT1, LRCOL1, CD207, GPR182"
Tuft,"TPSG1, CDK15, SPIC, GUCA1A, NFIA-AS2, PIMREG, SH2D6, MSI1, LINC01638, APLN"
pre-TB secretory,"SFTPB, SCGB3A2, SCGB1A1, SCGB3A1, RNASE1, SAA1, CYB5A, SSUH2, CLU, GPR182"
