,Top 10 important genes from the CellTypist model
MAIT,"GZMK, KLRB1, CCL5, TRBV6-4, IL32, RRM2, TRAV1-2, GZMA, MKI67, IL7R"
Mono_prolif,"MKI67, CENPF, S100A8, TOP2A, LYZ, UBE2C, CHAD, LINC01727, MME, LINC01374"
NKT,"FCGR3A, NCR1, NCAM1, MALAT1, GNLY, TRAV1-2, CD3E, CD3D, GZMK, HBG1"
NK_16hi,"TYROBP, NKG7, IGHM, GNLY, IGHA1, SPON2, PRF1, GZMB, FCGR3A, IGHG1"
NK_56hi,"NKG7, GNLY, XCL1, XCL2, TYROBP, KLRC1, KIR2DL4, GZMK, SPTSSB, RPS4Y1"
NK_prolif,"STMN1, TYROBP, TYMS, MKI67, CENPF, CD7, RRM2, TUBA1B, LGALS1, AC020636.1"
Plasma_cell_IgA,"IGHA1, IGHA2, LGALS1, DERL3, XBP1, ATF5, CSNK2A3, SLC12A5, CCDC42, GFPT2"
Plasma_cell_IgG,"IGHG1, XBP1, IGHG4, IGHG3, IGHG2, IGHGP, GFPT2, AC020636.1, MEG3, CORO6"
Plasma_cell_IgM,"IGHM, DERL3, XBP1, LINC01480, ISG15, IFI27, IRF4, GFPT2, IL1R1, AL513493.1"
Plasmablast,"CCND2, TYMS, RRM2, UBE2C, HOXA1, AC020636.1, COL26A1, AC104590.1, SLC35G2, AC103724.4"
Platelets,"IGHM, IGHA1, LY6G6F, PPBP, CAVIN2, RPS4Y1, IGHG1, CCL5, MYL9, SPARC"
RBC,"HBB, HBA1, HBA2, GALNTL6, MME, AC090409.1, AC232271.1, FAM66D, AL109914.1, HSPG2"
Treg,"IKZF2, FOXP3, CYGB, FAM66D, VASN, PGBD1, PRTN3, LINC01122, GALNTL6, CTSG"
gdT,"TRDV2, TRDC, TRGV9, CCL5, EGR1, KLRC1, CDKN1A, DUSP2, TCL1B, GALNTL6"
pDC,"ACY3, ASIP, SHD, COL26A1, PLD4, AC103724.4, CCDC183, AC006207.1, LRRC36, CIB2"
