,Top 10 important genes from the CellTypist model
T_CD4_c05-FOS,"JUN, FOS, DUSP1, SPRR3, FABP4, SCEL, PARAL1, JUNB, TNFSF18, NOV"
T_CD4_c06-NR4A2,"ZFP36, SLC2A3, AD000090.1, TNFAIP3, IER2, JUN, FOS, MT2A, DDIT4, BTG2"
T_CD4_c07-AHNAK,"S100A4, FOS, JUN, TNFAIP3, DUSP1, ANXA1, ZFP36, PPP1R15A, KLRB1, S100A11"
T_CD4_c08-GZMK-FOS_h,"CCL5, FOS, JUN, ANXA1, GZMK, TNFAIP3, ZFP36, CD4, S100A4, SPRR3"
T_CD4_c09-GZMK-FOS_l,"CCL5, CD4, GZMA, CD40LG, GZMK, SPRR3, IL32, NKG7, COTL1, IL7R"
T_CD4_c10-IFNG,"CD4, CD40LG, SPRR3, LINC01914, ASIP, CCL4, PNMT, TNFSF18, PPP1R15A, TNNC1"
T_CD4_c11-GNLY,"NKG7, CD4, CD40LG, GNLY, CCL5, GZMH, MALAT1, GZMA, CST7, SPRR3"
T_CD4_c12-FOXP3,"S100A4, ISG15, MT2A, HLA-DPA1, IL32, ITGB1, HLA-DPB1, HLA-DRB5, LGALS1, GBP5"
T_CD4_c13-MKI67-CCL5_l,"HIST1H1E, HMGB2, CD4, SPRR3, S100A11, STMN1, SHD, IGLV3-32, PARAL1, FMOD"
T_CD4_c14-MKI67-CCL5_h,"SPRR3, CD4, GZMA, IL5, IGLV3-32, PNMT, AL136987.1, LINC01914, MIA, LDB2"
T_CD8_c01-LEF1,"GNLY, CD8B, CD8A, S100A8, LINC02446, AIF1, S100A9, IL32, TNFSF18, IGLV3-32"
T_CD8_c02-GPR183,"CCL5, CD8A, CD8B, IL7R, LTB, S100A9, CD69, S100A8, JUN, FOS"
T_CD8_c03-GZMK,"CCL5, NKG7, GZMK, GZMA, CST7, DUSP2, JUN, CMC1, SPRR3, IGLV3-32"
T_CD8_c04-COTL1,"GZMH, NKG7, CCL5, FGFBP2, GZMB, CD8A, CST7, SPRR3, MTRNR2L12, KLRB1"
T_CD8_c05-ZNF683,"GNLY, CD8A, GZMH, NKG7, CD3E, CD8B, LGALS1, ITGB1, SPRR3, PDGFRL"
T_CD8_c06-TNF,"GNLY, JUN, CCL4, NFKBIA, NKG7, CCL5, CD3E, CD69, DUSP1, GZMH"
T_CD8_c07-TYROBP,"GNLY, CD3E, TYROBP, CCL5, TRBC1, GZMH, FCGR3A, SPRR3, FMOD, IGLV3-32"
T_CD8_c08-IL2RB,"CD3E, TYROBP, CD8A, FCER1G, NKG7, KLRB1, CD3G, SPON2, GNLY, IFITM3"
T_CD8_c09-SLC4A10,"NKG7, KLRB1, IL7R, CCL5, LTB, DUSP1, CD8A, CST7, FOS, PRF1"
T_CD8_c10-MKI67-GZMK,"NKG7, COTL1, GZMA, TUBA1B, HLA-DRA, CCL5, HMGB2, LGALS1, STMN1, MT2A"
T_CD8_c11-MKI67-FOS,"SPRR3, STMN1, TNFSF18, HMGB2, PARAL1, AL078590.3, LDB2, SMIM24, LINC01914, SAA1"
T_CD8_c12-MKI67-TYROBP,"CD3E, STMN1, GNLY, HMGB2, SPRR3, TRDC, TUBA1B, SCEL, TNFSF18, IL5"
T_CD8_c13-HAVCR2,"GZMK, GZMA, MT2A, FMOD, IGLV3-32, SPRR3, SHD, MAOB, FAM183A, IL5"
T_gdT_c14-TRDV2,"GNLY, KLRB1, NKG7, CCL5, TRDV2, TRGV9, IL7R, KLRD1, TRBC1, KLRG1"
